Date,Open,High,Low,Close
Friday,2024-02-09,5004.17,5030.06,5000.34,5026.61
Thursday,2024-02-08,4995.16,5000.4,4987.09,4997.91
Wednesday,2024-02-07,4973.05,4999.89,4969.05,4995.06
Tuesday,2024-02-06,4950.16,4957.77,4934.88,4954.23
Monday,2024-02-05,4957.19,4957.19,4918.09,4942.81
Friday,2024-02-02,4916.06,4975.29,4907.99,4958.61
Thursday,2024-02-01,4861.11,4906.97,4853.52,4906.19
Wednesday,2024-01-31,4899.19,4906.75,4845.15,4845.65
Tuesday,2024-01-30,4925.89,4931.09,4916.27,4924.97
Monday,2024-01-29,4892.95,4929.31,4887.4,4927.93
Friday,2024-01-26,4888.91,4906.69,4881.47,4890.97
Thursday,2024-01-25,4886.66,4898.15,4869.34,4894.16
Wednesday,2024-01-24,4888.56,4903.68,4865.94,4868.55
Tuesday,2024-01-23,4856.8,4866.48,4844.37,4864.6
Monday,2024-01-22,4853.42,4868.41,4844.05,4850.43
Friday,2024-01-19,4796.28,4842.07,4785.87,4839.81
Thursday,2024-01-18,4760.1,4785.79,4740.57,4780.94
Wednesday,2024-01-17,4739.13,4744.23,4714.82,4739.21
Tuesday,2024-01-16,4772.35,4782.34,4747.12,4765.98
Friday,2024-01-12,4791.18,4802.4,4768.98,4783.83
Thursday,2024-01-11,4792.13,4798.5,4739.58,4780.24
Wednesday,2024-01-10,4759.94,4790.8,4756.2,4783.45
Tuesday,2024-01-09,4741.93,4765.47,4730.35,4756.5
Monday,2024-01-08,4703.7,4764.54,4699.82,4763.54
Friday,2024-01-05,4690.57,4721.49,4682.11,4697.24
Thursday,2024-01-04,4697.42,4726.78,4687.53,4688.68
Wednesday,2024-01-03,4725.07,4729.29,4699.71,4704.81
Tuesday,2024-01-02,4745.2,4754.33,4722.67,4742.83
Friday,2023-12-29,4782.88,4788.43,4751.99,4769.83
Thursday,2023-12-28,4786.44,4793.3,4780.98,4783.35
Wednesday,2023-12-27,4773.45,4785.39,4768.9,4781.58
Tuesday,2023-12-26,4758.86,4784.72,4758.45,4774.75
Friday,2023-12-22,4753.92,4772.94,4736.77,4754.63
Thursday,2023-12-21,4724.29,4748.71,4708.35,4746.75
Wednesday,2023-12-20,4764.73,4778.01,4697.82,4698.35
Tuesday,2023-12-19,4743.72,4768.69,4743.72,4768.37
Monday,2023-12-18,4725.58,4749.52,4725.58,4740.56
Friday,2023-12-15,4714.23,4725.53,4704.69,4719.19
Thursday,2023-12-14,4721.04,4738.57,4694.34,4719.55
Wednesday,2023-12-13,4646.2,4709.69,4643.23,4707.09
